name,cor,p.value
ITGB2,0.437840193770638,0.000467783182556647
PPARG,-0.396094296020941,0.00173145396767204
LCN2,-0.360998205611535,0.00460134593824416
PIK3CG,0.345160337174747,0.0069150016768962
ITGAL,0.332032501100248,0.00954775156521259
HSD17B2,-0.327121585713185,0.010735828027724
SLCO1B3,-0.326358350968144,0.0109315168454629
SMO,0.29662936629058,0.0213684679454526
AHR,-0.282618950013948,0.0286752528542473
PRKCB,0.269869209364793,0.0370433094665966
NR3C2,-0.268956585281137,0.0377128462900999
PLK1,0.268410624370164,0.0381181556477739
NQO1,-0.261238659338403,0.0437856073959048
